Iterations, Rows, Cols, OverallTime, WorkTime, DiffTime, Processors
14,5000,5000,9.797515,7.786958,2.010557,1
14,5000,5000,7.720647,6.072299,1.648348,2
14,5000,5000,4.771384,3.105063,1.666321,4
14,5000,5000,3.993072,1.988708,2.004364,8
14,5000,5000,3.471715,1.493321,1.978394,16
14,10000,10000,37.817347,26.486019,11.331328,1
14,10000,10000,27.235885,15.211390,12.024495,2
14,10000,10000,17.860239,8.570926,9.289313,4
14,10000,10000,24.885684,14.220817,10.664867,8
14,10000,10000,13.241497,4.586518,8.654979,16
